date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr
2026-05-01,89.1324,89.1324,0.3328,97538.75495071069,424.1135699271841,1203.8079097895823,100.0,100.0,105.87025535039017,92.22177456353411
2026-05-08,89.3641,89.3641,0.3261,98971.91084396109,420.1334284945709,1233.5646274047483,100.0,100.0,110.60916548029323,92.44736039010013
2026-05-15,89.5361,89.5361,0.3198,99005.9311025315,420.6656500750461,1278.7650221383608,100.0,100.0,114.59090744810295,92.48605401866868
2026-05-22,88.721,88.721,0.3138,96768.84825623721,427.7430509652129,1264.97025299531,100.0,100.0,110.37972560607272,92.50249553913814
2026-05-29,88.0552,88.0552,0.3081,97017.32524021898,454.89938368892695,1256.6026363240576,100.0,100.0,113.61851559894177,92.37051326933688
2026-06-05,88.8529,88.8529,0.3027,98771.26685823577,492.5932801718223,1231.5288604842776,100.0,100.0,116.9199300163514,92.06491664402328
2026-06-12,89.7138,89.7138,0.2976,98719.52555391782,483.8294023906917,1209.3915368367234,100.0,100.0,116.89785537299628,92.00849776743381
2026-06-19,89.5007,89.5007,0.2927,98928.622662261,481.76803365830546,1222.3442471456192,100.0,100.0,120.94704776733141,91.5471214038588
2026-06-26,90.5346,90.5346,0.2881,100489.6452907278,491.0085633724245,1172.2801598862527,100.0,100.0,125.57859426270389,91.04204836440043
2026-07-03,90.1827,90.1827,0.2837,103766.97215730706,478.79259888467175,1180.9906840627198,100.0,100.0,125.80623744936618,90.93004860574358
2026-07-10,90.2533,90.2533,0.2795,103729.63229826288,517.6231780150331,1227.5037278265877,100.0,100.0,124.56761602126069,90.32784386043839
2026-07-17,92.2378,92.2378,0.2755,107249.77662658619,500.3204700639682,1300.4725340720358,100.0,100.0,122.86921036344263,91.1953290327859
2026-07-24,93.2754,93.2754,0.2717,105734.14174480994,556.1112445054508,1345.4582876304112,100.0,100.0,118.42457966285276,90.98220054234153
2026-07-31,93.8468,93.8468,0.2682,105317.680832033,579.5000233162715,1338.9496317614608,100.0,100.0,119.81209944090918,90.50250977406783
2026-08-07,94.1607,94.1607,0.2648,103840.07478571933,609.8775211659506,1319.037989863245,100.0,100.0,119.91289519879219,90.71231309111698
2026-08-14,94.4686,94.4686,0.2615,106393.35068656491,655.30135314421,1256.2950141200233,100.0,100.0,114.44092499356448,90.97969227937396
2026-08-21,95.6141,95.6141,0.2584,107190.89028203979,691.8782589908309,1256.089874440404,100.0,100.0,119.2670904152555,91.40755243844757
2026-08-28,96.8774,96.8774,0.2555,108928.19034257611,662.6830264849152,1214.6705893819135,100.0,100.0,106.86468112369349,92.45172955595882
2026-09-04,97.7943,97.7943,0.2527,110443.19833375324,728.4777735514128,1161.0851464557854,100.0,100.0,107.46797333107055,93.46708611145132
2026-09-11,98.6489,98.6489,0.2501,115855.23128378138,763.1122126265989,1165.0640331819818,100.0,100.0,112.62080107221558,93.18059392144858
2026-09-18,99.8296,99.8296,0.2476,113054.6678318972,759.6824230665982,1127.92241404535,100.0,100.0,113.43292231716539,93.8484323121022
2026-09-25,99.4662,99.4662,0.2452,115185.98686629957,718.5660235681786,1145.5308936656352,100.0,100.0,107.48005985564555,93.09822913113572
